 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 15:47:17,465] - Script::uninstall(): is successfully!
 DEBUG root [2018-05-21 15:47:17,465] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-05-21 15:47:17,766] - ThreadPool::destroy(): waiting for thread(2)[0x3a45418,0x3a45a98,], try=1
 DEBUG root [2018-05-21 15:47:18,167] - TPThread::~TPThread(): 0x3a45418
 DEBUG root [2018-05-21 15:47:18,168] - TPThread::~TPThread(): 0x3a45a98
 DEBUG root [2018-05-21 15:47:18,168] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-05-21 15:47:18,180] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2018-05-21 15:47:18,180] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:47:18,180] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:47:18,181] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:47:18,181] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:47:18,181] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:47:18,181] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:47:18,181] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-05-21 15:47:18,181] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-05-21 15:47:19,185] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-05-21 15:50:38,955] - 
  INFO root [2018-05-21 15:50:38,955] - -----------------------------------------------------------------------------------------


  INFO root [2018-05-21 15:50:38,956] - Resmgr::initialize: KBE_ROOT=D:/noah/ChessWarrior/server/
  INFO root [2018-05-21 15:50:38,956] - Resmgr::initialize: KBE_RES_PATH=D:/noah/ChessWarrior/server/kbe/res/;D:/noah/ChessWarrior/server/chess_assets/;D:/noah/ChessWarrior/server/chess_assets/scripts/;D:/noah/ChessWarrior/server/chess_assets/res/
  INFO root [2018-05-21 15:50:38,956] - Resmgr::initialize: KBE_BIN_PATH=D:/noah/ChessWarrior/server/kbe/bin/server/
  INFO root [2018-05-21 15:50:38,958] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.111 ( 192.168.0.111:56414 )
  INFO root [2018-05-21 15:50:38,958] - NetworkInterface::initialize(INTERNAL): address 192.168.0.111:56414, SOMAXCONN=5.
  INFO root [2018-05-21 15:50:38,964] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 15:51:05 May 15 2018. AppID: 0. UID: 1669. PID: 8520 ----
  INFO root [2018-05-21 15:50:38,965] - Server : Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz with 2097151kB RAM
  INFO root [2018-05-21 15:50:38,965] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-05-21 15:50:38,965] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-05-21 15:50:39,097] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 15:50:39,098] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 15:50:39,098] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 15:50:39,101] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 15:50:39,101] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 15:50:39,101] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 15:50:39,102] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 15:50:39,139] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 15:50:39,173] - Script::install(): is successfully, Python=(3.4.2 (default, May 15 2018, 15:51:04) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-05-21 15:50:39,174] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-05-21 15:50:39,771] - ClientSDK::writeServerErrorDescrsModule(): ..\..\client\Assets\Scripts\Net//ServerErrorDescrs.cs
 DEBUG root [2018-05-21 15:50:39,771] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ServerErrorDescrs.cs
 DEBUG root [2018-05-21 15:50:39,779] - ClientSDK::writeEngineMessagesModule(): ..\..\client\Assets\Scripts\Net//Messages.cs
 DEBUG root [2018-05-21 15:50:39,783] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/Messages.cs
 DEBUG root [2018-05-21 15:50:39,790] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/KBETypes.cs
 DEBUG root [2018-05-21 15:50:39,796] - ClientSDK::writeEntityDefsModule(): ..\..\client\Assets\Scripts\Net//EntityDef.cs
 DEBUG root [2018-05-21 15:50:39,799] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityDef.cs
 DEBUG root [2018-05-21 15:50:39,809] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/CustomDataTypes.cs
 DEBUG root [2018-05-21 15:50:39,811] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Account
 DEBUG root [2018-05-21 15:50:39,812] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/AccountBase.cs
 DEBUG root [2018-05-21 15:50:39,815] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallAccountBase.cs
 DEBUG root [2018-05-21 15:50:39,818] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Chess
 DEBUG root [2018-05-21 15:50:39,819] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ChessBase.cs
